विठ्ठल vitthal
न्याहळेखुर्द nyahlekhurd
अपटाळा aptala
नांदगाव nandgaon
भुरीटक bhuritak
कोलाळे kolale
पाथर्ली patharli
झाप zap
उजेना ujena
मांगरुळ mangrul
गारगाव gargaon
पीक pik
कावळे kawale
कळमखांड kalamkhand
हमरापुर hamrapur
इंदगाव indgaon
उटावळी utawali
आलोडा aloda
मलवाडा malwada
वाकी waki
ओंढे ondhe
विक्रमगड vikramgad
साखरा sakhara
आंबेघर ambeghar
खुडेद khuded
बालापुर balapur
काशिवली kashivali
जुनीजव्हास junijwhas
वेहळपाडा vehalpada
सारसी sarasi
मुरवाड murvad
घोल ghol
कासा kasa
वागर्जे vagarje
खडकी khadaki
दादडा dadada
करसुंद karsund
डाल्हारीखुर्द dalharikhurd
तळवली talvali
घाणेधेर ghanedher
सवादे savade
सावके savake
बोरांडे borande
देगाव degaon
कोसवाड koswad
कुर्झे kurze
कसारा kasara
फुगाळे fugale
वशाळे vashale
कोथळ kothal
ढाकणे dhakane
कळभोडा kalbhoda
तळवडा talvada
चांदे chande
साकुर्ली sakurli
डेहणे dehane
जुबारमाळपाडा jubarmalpada
धामनी dhamani
दळखण dalkhan
लाहे lahe
भातसानगर bhatsanagar
पाटोळे patole
साकडबाव sakadbav
डोळखांब dolkhamb
खराडे kharade
मुसई musai
सारंगपुरी sarangpuri
कोठेरा kothera
साजिवली sajivali
सरळांभे sarlambhe
खरीवली kharivali
सावरोल savrol
शहापूर shahapur
मांजरे manjare
टेंभुर्ली tembhurli
गुंढे gundhe
वेळुक veluk
उम्रोली umroli
तळेगाव talegaon
शिरोशी shiroshi
जडई jadai
माळ mal
मेर्दी merdi
न्याहडी nyahadi
माळशेज malshej
मोरोशी moroshi
चासोळे chasole
वेशाखरे veshakhare
एकलहरे eklhare
दहिगाव dahigaon
इंदगाव indgaon
धसई dhasai
सोनावळे sonawale
मिल्हे milhe
खवरा khawara
बहलोली bahloli
आंबेखोरे ambekhore
आपटी apati
ढाढरे dhadhare
काळू kalu
सायरे sayare
बेहलोली behloli
चिखलगाव chikhalgaon
वाचकोळा vachkola
कासगाव kasgaon
खुटल khutal
खरीड kharid
बेसाडगाव besadgaon
शेणबा shenaba
सरळगाव saralgaon
नागाव nagaon
कान्होर्ले kanhorle
तुळई tulai
धसई dhasai
शिवनेरी shivneri
किन्हवली kinhavali
शिळ shil
कोळठाण kolthan
पवाळे pawale
वडवली vadvali
करवेळे karwele
दहिगाव dahigaon
आंबेगाव ambegaon
तोंडली tondali
खानविरा khanwira
डोंगरन्हावे dongarnhawe
अस्नोली asnoli
गोठेधर gothedhar
वाफे vaphe
भातसई bhatsai
शेरा shera
नडगाव nadgaon
आंबिवली ambivali
अंबर्जे ambarje
दहिवली dahivali
केरवेळे kerwele
वाघीवली waghivali
मुरबाड murbad
देवपे devape
करवेळे karwele
कणसोली kansoli
मोहघर mohghar
म्हसा mhasa
पाटगाव patgaon
करणपाडा karanpada
चरगाव chargaon
मुळगाव mulgaon
करद karad
देहागाव dehagaon
चोरे chore
बापराई baprai
म्हसकल mhaskal
काळू kalu
टिटवाळा titwala
फळेगाव falegaon
नडगाव nadgaon
वावेघर vaveghar
भादणे bhadane
धामणगाव dhamangaon
आमणे amane
रांग rang
नांदप nandap
लोनाड lonad
सरवली sarvali
डोंबिवली dombivali
कल्याण kalyan
शहाड shahad
गोवेली goveli
कोन kon
तिसगाव tisgaon
वरंध varandh
माझेरी mazeri
किये kiye
भाबे bhabe
माटवण matwan
कांबळे kambale
सवाद savad
रुपवळी rupwali
पिंपळोली pimploli
सडे sade
वडघर vadghar
उमरठ umrath
तुर्भे turbhe
मोरसडे morsade
पोलादपूर poladpur
अडवले adwale
कामथे kamathe
साखर sakhar
बोरावले borawale
देवळे dewale
करंजे karanje
रुद्रवली rudravali
रानवडे ranwade
वाकण vakan
लहूलसि lahulasi
गोलेगणी golegani
महाळूंगे mahalunge
देवपूर devpur
कोतवाल kotval
ओंबळी ombali
महारगोळ mahargol
कोडवी kodavi
भोगाव bhogaon
आंबवडे ambwade
मोगावे mogave
नातोडी natodi
महाड mahad
चांढवे chandhave
वामने vamane
तुडील tudil
वराठी varathi
तेलंग telang
म्हाप्रळ mhapral
चिंभाटे chimbhate
नरवण narwan
बिजघर bijghar
लोहारे lohare
बेलोशी beloshi
करंजाडे karanjade
खुटील khutil
कुंभारडे kumbharade
रेवातळे revatale
कादवण kadwan
शिरसवणे shiraswane
ताम्हणे tamhane
फाळके falke
विन्होरे vinhore
अच्याड achyad
संभा sambha
आमगाव amgaon
कोचई kochai
बोरीमाळा borimala
डोंगरी dongari
वरपड varpad
अणवी anavi
झाई zai
वेवजी vevaji
झरी zari
सुत्रकार sutrakar
तलासरी talasari
घोलवड gholwad
बोर्डी bordi
गिरगाव girgaon
वसा vasa
करंजगाव karanjgaon
संवणे sanwane
उधवा udhava
चिखले chikhale
नरपड narpad
आगर agar
डहाणू dahanu
खुनवडे khunwade
आंबेवाडी ambewadi
कोसबाड kosbad
वाकी waki
कंक्राडी kankradi
मल्याण malyan
पाटीलपाडा patilpada
केनाड kenad
गागणगाव gagangaon
आसवली asvali
धामणगाव dhamangaon
वंकास vankas
वरकुडा varkuda
आंबेसरी ambesari
आशागड ashagad
नागझरी nagzari
महालक्ष्मी mahalaxmi
चांदवड chandwad
रानशेत ranshet
चांदवड chandwad
चारोटी charoti
मोडगाव modgaon
अष्टे ashte
शिसना shisana
सायवान saywan
निंबापुर nimbapur
पवन pavan
वाघाडी waghadi
बापगाव bapgaon
चिंचला chinchala
शिलोंडे shilonde
दाभाडी dabhadi
बोपदरी bopdari
वावर vavar
दाभेरी dabheri
ढाढरा dhadhara
तलासरी talasari
सारसुन sarsun
आसे ase
धानवल dhanwal
ओसरवीरा osarvira
दाडेवळ dadeval
हिरवे hirawe
पोशेरा poshera
चास chas
नोरिस्ता norista
ब्राम्हणगाव bramhangaon
मोखाडा mokhada
न्याहळ nyahal
खडखड khadkhad
बोराळे borale
रुतेरी ruteri
विणवळ vinval
जामसेर jamser
गोरठण gorthan
जव्हार javhar
दांभोसे dambhose
दहरे dahare
कोगदा kogada
आयरे ayare
सळबळी salbali
करहा karaha
कासा kasa
खरोडा kharoda
ओझर ozar
सुकडबा sukdaba
सुर्या surya
तलवाडा talwada
धाकटीडहाणू dhaktidahanu
बडापोखरण badapokhran
कळमजे kalmaje
पेण pen
बोरघर borghar
वरई varai
चरई charai
तळेगाव talegaon
माणगाव mangaon
हवेली haveli
आमदोशी amdoshi
पन्हेली panheli
मोर्बे morbe
डोंगराळी dongrali
दहिवली dahivali
देगाव degaon
अणेगाव anegaon
वडगाव vadgaon
वडवली vadvali
गोरेगाव goregaon
देवळी devali
टोळ tol
सव sav
आंबेत ambet
खांबगाव khambgaon
नांदवी nandavi
कणघर kanghar
पाष्टी pashti
लेप lep
गोवेले govele
मांजरवेणे manjarvene
साई sai
घोणस ghonas
चिंचोडे chinchode
चिखलण chikhlan
म्हसळा mhasala
मांदाटणे mandatane
दिघी dighi
सर्वे sarve
कुडगाव kudgaon
तुरवाडी turwadi
आदगाव adgaon
वेळास velas
कालसूरे kalasure
मेदडी medadi
दिवेआगर diveagar
बोलीपंचतन bolipanchtan
नागलोली nagloli
पाभरे pabhare
बनोटी banoti
वाकलघर vaklaghar
दोडगुरी dodguri
कोंडवली kondvali
वालवटी valvati
खारगाव khargaon
जांभुळ jambhul
भास्ते bhaste
जसवली jasvali
रानवली ranvali
मालसुरे malsure
श्रीवर्धन shriwardhan
कालिजे kalije
देवघर devghar
मारळ maral
हरिहरेश्वर harihareshwar
कोंझरी konzari
कोलाड kolad
खाळजे khalaje
सांगिवली sangivali
कुंडली kundali
वरसगाव varasgaon
जामगाव jamgaon
विळे vile
बोरीवली borivali
टिटवे titawe
मळुष्टे malushte
भावे bhave
महागाव mahagaon
कडापे kadape
कांदळगाव kandalgaon
निळज nilaj
तळाशेत talashet
पानसई pansai
इंदापूर indapur
कालवन kalvan
पानोशे panoshe
निजामपूर nijampur
कोष्टे koshte
शिरसाड shirsad
केळगाव kelgaon
साळवे salawe
धरोशी dharoshi
पानाडे panade
भादव bhadav
पळसगाव palasgaon
कविलवहाळ kavilvahal
लोणेरे lonere
चिंचवली chinchvali
वीर vir
मोहोप्रे mohopre
दासगाव dasgaon
पाले pale
नडगाव nadgaon
पन्हाळघर panhalaghar
कोतुर्डे koturde
सांदोशी sandoshi
रायगड raygad
पाचाड pachad
वांगरी vangari
वाघेरी wagheri
वाले vale
लिंगाणा lingana
सिंगापूर singapur
दापोली dapoli
वाघोली wagholi
कोथेरी kotheri
वाळण valan
तळोशी taloshi
सारडी saradi
नाते nate
गोंडाळे gondale
शेळ shel
बिरवाडी birwadi
वामणी vamani
कुसगाव kusgaon
बारसगाव barasgaon
शिवथरघळ shivtharghal
पारमाची parmachi
नाडसुर nadsur
चिवे chiwe
वावे vave
ठणाळे thanale
नवघर navghar
आसरे asare
कळंब kalamb
जांभूळपाडा jambhulpada
घोटवडे ghotwade
उंबरे umbare
चावणी chawani
होनाड honad
मिटवे mitawe
रेवस rewas
सारळ saral
मांडवे mandave
कोळगाव kolgaon
सासवने sasvane
धोकवडे dhokwade
वैजाळी vaijali
मानकुले mankule
आवास awas
झिराडे zirade
बामणसुरे bamansure
किहीम kihim
सातीर्जे satirje
शहापुर shahapur
उंदेरी underi
खंदेरी khanderi
कणकेश्वर kankeshwar
तळवली talvali
परहर parhar
नवगाव navgaon
थळ thal
वायशेत vayshet
कामार्ले kamarle
पेढांबे pedhambe
धरमतर dharmatar
अंबेपूर ambepur
चेरी cheri
नेहुली nehuli
वरसोली varsoli
वाडगाव vadgaon
वेश्वी veshvi
चेढंरे chedhanre
अलिबाग alibag
पोयनाड poynad
कुसुबळे kusubale
कोळघर kolghar
कुरुळ kurul
सहन sahan
अक्षी akshi
रायवाडी raywadi
काविर kavir
नागाव nagaon
उसर usar
चौल chaul
मल्याण malyan
रेवदंडा revdanda
चिंचोटी chinchoti
वळवळ valval
बापळे bapale
अवेटी aveti
शिहू shihu
बेलोशी beloshi
महाजने mahajane
कुर्डुस kurdus
अंबेघर ambeghar
उमटे umate
महान mahan
रामराज ramraj
वावेखार vavekhar
निगडे nigade
भिसे bhise
शेणवई shenwai
भातसई bhatsai
मेढा medha
खारखडे kharkhade
धामणसई dhamnasai
रोठखुर्द rothkhurd
कोर्लई korlai
बोर्ली borli
मीठखार mithkhar
मांडले mandale
बारशीव barshiv
वळके valake
भुईघर bhuighar
काशीद kashid
चोरढे choradhe
सारसोली sarsoli
वडघर vadghar
खारडोणकुले khardonkule
मजगाव majgaon
विहूर vihur
वेळोस्ते veloste
शिघ्रे shighre
मुरुड murud
राजपुरी rajpuri
एकदरा ekdara
जंजीरा janjira
खतीबखार khatibkhar
आगरदांडा agardanda
मिठागर mithagar
मादाड madad
राहाताड rahatad
कोंढरे kondhare
भालगाव bhalgaon
विरजोली virjoli
घोसाली ghosali
टेंबघर tembghar
लांढेर landher
शेडसई shedsai
तळेखार talekhar
आरे are
रोहा roha
भुवनेश्वर bhuvaneshwar
घाटाव ghatav
किल्ल killa
तामणशेत tamanshet
तांबडी tambadi
वाली vali
माहूर mahur
पिटसई pitsai
टोकाडे tokade
पडवन padvan
फालशेत falshet
निवी nivi
काकडशेत kakadshet
कुडा kuda
वानस्त vanasta
तळे tale
नडवली nadvali
पुगाव pugaon
पुई pui
चिंचवली chinchvali
विठ्ठलवाडी vitthalwadi
नांदगाव nandgaon
कोशिंबे koshimbe
पाटणूस patnus
भिसेकेंप bhisekemp
नागशेत nagshet
पोटनेर potner
अडूळसे adulase
भारजे bharaje
सुधागड sudhagad
पाश्चापूर pashchapur
शेवा sheva
पाणजे panaje
मोरा mora
केगाव kegaon
नागाव nagaon
चाणजे chanaje
उरण uran
पीरकोन pirkon
वशेणी vasheni
पुनाडे punade
सारडे sarade
कळवणे kalwane
कळंबसुरे kalambsure
कर्नाळा karnala
चिरनेर chirner
विंधणे vindhane
रानसई ransai
पागोंटे pagonte
भेंडखळ bhendkhal
जसखार jaskhar
जासई jasai
चिरले chirale
शिरढोण shirdhon
पळस्पे palaspe
नांदगाव nandgaon
ओवळे owale
पारगाव pargaon
पनवेल panvel
धानसर dhansar
तळोजे taloje
खेरेणे kherene
पार्ले parle
नेवळी nevali
आदई adai
पाली pali
वलप valap
महोदर mahodar
निटंलस nitanlas
वावजे vavaje
नेरे nere
डुर्डे durde
वेडीसगाव vedisgaon
दामत damat
ममदापूर mamdapur
मालडंगे maldange
पाषाणे pashane
साखोळ sakhol
ओलमन olman
बोरगाव borgaon
माले male
कळंब kalamb
नांदगाव nandgaon
खांडस khandas
पाथरज pathraj
गणपतीघाट ganpatighat
जांभरुन jambhrun
ताडवाडी tadwadi
वारे ware
पोशीर poshir
अवसरे avasare
धामोटे dhamote
सुगवे sugave
पिंपलोली pimploli
करोळे karole
कोठिंबे kothimbe
धामणी dhamani
मांडवणे mandwane
भालीवडे bhaliwade
नेरळ neral
वाकस vakas
एकसल eksal
अकूल akul
कडाव kadav
भिवपुरी bhiwpuri
हुमगाव humgaon
गोरकामथ gorkamath
भरणे bharane
वदप vadap
कोंडेवाडी kondewadi
कर्जत karjat
पळसदरी palasdari
तामनाथ tamnath
बीड bid
जामरुग jamrug
शेणगाव shengaon
खोपोली khopoli
देवड devad
वाजे vaje
माथेरान matheran
माणगाव mangaon
पाली pali
विकसाळ viksal
कोन kon
सांगड sangad
लोणीवली lonivali
तळवळी talwali
अजिवलीबारवई ajivalibarvai
पोयंजे poyanje
नादलचोक nadalchok
वानळे vanale
तळवली talvali
भिसेगाव bhisegaon
अवरळ avaral
कलोते kalote
रवाडे ravade
मोकाशी mokashi
हालबुद्रुक halbudruk
महड mahad
भाटण bhatan
तुराडे turade
दोपावली dopavali
रसायनी rasayani
आपटा apata
आंबिवली ambivali
टेंभरी tembhari
नेरे nere
तळवली talvali
दुशमी dushami
सारसई sarsai
आंबिवली ambivali
खालापूर khalapur
कुभीवली kubhivali
सावरोली savroli
वावोशी vavoshi
बेलवडे belwade
धावटे dhavate
तरणखोपे tarankhope
बालीवली balivali
दूरशेत durshet
जोहे johe
दादर dadar
वढाव vadhav
नवले navale
कळवे kalawe
अंतोरे antore
वाशी vashi
मसद masad
शिर्की shirki
बोरी bori
डोलवी dolavi
उंबडे umbade
पेण pen
बोरगाव borgaon
सावरसई savrasai
गागोदे gagode
नारंगी narangi
जांभीवली jambhivali
खानाव khanav
वडखळ vadkhal
मिरयाडोंगर miryadongar
वरवटणे varavtane
हातोड hatod
कराव karav
जिरणे jirane
चंदरगाव chandargaon
धोकशेत dhokshet
साकीदे sakide
पाचगणी pachgani
महागाव mahagaon
दहीगाव dahigaon
आमटेम amtem
कोंडवी kondavi
वाघोशी waghoshi
वरप varap
पळस palas
कोंडगाव kondgaon
चिखलगाव chikhalgaon
नागोठणे nagothane
पाटणसई patnasai
वाकण vakan
हेदवली hedvali
नडवली nadvali
पुगाव pugaon
पुई pui
मिरजोळी mirjoli
कात्रोली katroli
काळवंडे kalwande
कामथे kamathe
निव्हाळ nivhal
मार्गताम्हणे margatamhane
झोरुडी zorudi
श्रुंगारवाडी shrungarwadi
आसरगोळी asargoli
पालशेत palshet
मळण malan
वेळंब velamb
अडूर adur
पोमेंडी pomendi
जामसूद jamsud
कोंडकारुळ kondkarul
वेळणेश्वर velneshwar
हेदवी hedavi
शीर sheer
नरवण narwan
काताळे katale
पडवे padawe
कुडली kudali
कुटगिरी kutgiri
गुढे gudhe
आंबलोली ambloli
पीलवली pilvali
मुर्तंवडे murtanwade
तोंडली tondali
कोळवली kolvali
कांजली kanjali
वीर vir
तनाळी tanali
नारद narad
खेरका kheraka
खरवते kharvate
दहिवली dahivali
ओंबळी ombali
मांडकी mandaki
निवळी nivali
असुर्डे asurde
कोकरे kokare
आंबटिगाव ambtigaon
खेडखेत khedkhet
नायशी nayashi
वहाळ vahal
बुरबाड burbad
आडस adas
देवपाट devpat
तुरळ tural
माखजन makhjan
पेंढाबे pendhabe
तिसरी tisari
करंजुदे karanjude
डिंगणी dingani
धामणी dhamani
खेर्डी kherdi
कापसाळ kapsal
टेख tekh
कान्हे kanhe
अडरे adare
देहेळे dehele
अनारी anari
शिरगाव shirgaon
सावर्डे savarde
पोफळी pofali
आंबतखोल ambatkhol
तळसर talsar
डेरवण derwan
नांदगाव nandgaon
फुरुस furus
येगाव yegaon
दुर्गवाडी durgawadi
कटरे katare
आरवली arvali
कडवई kadwai
राजवाडी rajwadi
चिखली chikhali
भोळवली bholvali
प्रचितगड prachitgad
शृंगारपूर shringarpur
फणसवणे fanaswane
नायरी nayari
संगमेश्वर sangameshwar
जयगड jaygad
सैतवडे saitvade
वाटद watad
अगरनरळ agarnaral
देउड deud
कळझोंडी kalzondi
मालगुंड malgund
गणपतीपूळे ganpatipule
तळपाटवाडी talpatwadi
चुवे chuwe
चाफे chaphe
फुणगुस fungus
ओरी ori
धामणसे dhamnase
पोचरी pochari
परचूरी parchuri
नेवरे nevare
कोतवडे kotvade
उक्षी ukshi
करबुडे karbude
वितोशी vitoshi
वसणी vasani
भोके bhoke
सडामिरिया sadamiriya
साखरतर sakhratar
मजगाव majgaon
जाकिमिरया jakimiraya
झाडगाव zadgaon
रत्नागिरी ratnagiri
नाचणे nachane
केली keli
हातखंबा hatkhamba
निवळी nivali
वेळवंड velvand
पानवल panwal
पाली pali
तिवसा tiwasa
नानीज nanij
खानू khanu
मठे mathe
चारवणे charwane
कशेळी kasheli
मेघी meghi
चाफवस्ती chaphwasti
देवळे dewale
कनकाडी kankadi
साखरपा sakhrapa
दाभोळे dabhole
मुर्शी murshi
निनावे ninawe
निघवे nighave
रोहिजण rohijan
तळोजा taloja
ओवे ove
खारघर kharghar
नावडे navade
शेडपाली shedpali
कालबोली kalboli
कामोठे kamothe
तारथर tarthar
मोहो moho
वहाळ vahal
न्हावा nhava
सनमडी sanmadi
बाणकोट bankot
नारायणनगर narayannagar
वेसवी vesavi
वेळास velas
केळशी kelashi
हुर्णे hurne
सुवर्णदुर्ग suvarndurg
कोंडगाव kondgaon
पेवे pewe
लोकरण lokran
गोवले govale
बहिरवली bahirvali
पणदेरी panderi
घोसाळे ghosale
पाले pale
अडखळ adkhal
शेनाळे shenale
कुडूक kuduk
मंडणगड mandangad
शिपाळेबंदर shipalebandar
तुळशी tulashi
माहू mahu
भारजा bharaja
देव्हारे devhare
पालवणी palwani
कवडोली kavdoli
मांदिवली mandivali
वेरळ veral
तर्फ tarf
केळवत kelvat
तिडे tide
वळवते valvate
कुंबळे kumbale
कादवण kadwan
दहागाव dahagaon
लाटवण latwan
नातू natu
आडे ade
इळणे ilne
डौली dauli
आंजर्ले anjarle
विरसई virsai
भाळवली bhalvali
मुर्डी murdi
कांगले kangale
पिचडोली pichdoli
कांगवई kangwai
कुडावळे kudawale
जामगे jamage
ताडील tadil
बांधतिवरे bandhtiware
पालगड palgad
कसबानातू kasbanatu
चिंचाळी chinchali
कशेडी kashedi
आंबये ambaye
मुरडे murade
साखरोली sakhroli
चिंचघर chinchghar
खेड khed
कुरुस kurus
पोयनार poynar
घेरापालगड gherapalgad
दापोली dapoli
शिवाजीनगर shivajinagar
वणंद vanand
आसूद asud
मुरुड murud
गिम्हवणे gimhawane
जालगाव jalgaon
लाडघर ladghar
बुरोंडी burondi
कोळथरे kolthare
गोमरुलवाडी gomrulwadi
बाणोशी banoshi
दाभोळ dabhol
पन्हाळेकाजी panhalekaji
भोपन bhopan
भळे bhale
वायंगणी vayangani
अगर agar
देवके devake
ओळगाव olgaon
तेरेवायंगणी terewayangani
कोळबांद्रे kolbandre
टाळसूर talsur
ब्राम्हणवाडी bramhanwadi
टेटवडी tetwadi
संगलट sanglat
कौंढे kaundhe
पोफळवणे pophalwane
कर्जी karji
सणवस sanwas
उन्हवरे unhaware
पन्हाळजे panhalaje
गांगर्ड gangarda
ओमळी omali
वडगाव vadgaon
दिवाणखवटी divankhavati
बोरघर borghar
उधळे udhale
शिंगरी shingari
कळमणी kalmani
धावडे dhavade
मांडवे mandave
तळे tale
देवघर devghar
आंबवली ambvali
एनवली envali
भरणे bharane
कुडेशी kudeshi
भरणेफाटा bharnephata
तिसंगी tisangi
कुभांड kubhand
शिरगाव shirgaon
बिजघर bijghar
सुकिवली sukivali
कुळवंडी kulvandi
खाडी khadi
शिरसी shirasi
आष्टी ashti
लव्हले lavhale
शेल्डी sheldi
कासई kasai
साखर sakhar
चोरवणे chorwane
दावे dawe
चिरणी chirani
भेलसाई bhelsai
कांदवली kandvali
धामणद dhamnad
लोटे lote
परशूराम parshuram
चिपळूण chiplun
मुसोड musod
आकले akale
तिवरे tiware
कादवड kadwad
खडपोली khadpoli
पेढांबे pedhambe
नागवे nagave
कुभांर्ली kubhanrli
कोळकेवाडी kolkewadi
अली ali
पिंपळी pimpali
पेठअंजनवेल pethanjanvel
वेलदूर veldur
आरे are
पेवे pewe
वडद vadad
तळवली talvali
वरचापाट varchapat
गुहागर guhagar
बामणोली bamnoli
नानवली nanvali
कौलरताम्हणे kaulartamhane
वाणवली vanvali
पोसरे posare
वाघिवरे waghiware
मालदोली maldoli
कारंबवणे karambwane
भिले bhile
कापरे kapare
भोम bhom
मेंढेगिरी mendhegiri
दरीकोष्णुर darikoshnur
साळेगिरी salegiri
वळसंग valsang
कोलागिरी kolagiri
कुणीकोष्नुर kunikoshnur
सोन्याळ sonyal
बोबलाद boblad
व्हसपेठ vhaspeth
मुचंड muchand
केंदुर kendur
हाजीटाकळी hajitakali
कवठे kavathe
गुजाळवाडी gujalwadi
वडानेर vadaner
जाकरवाडी jakarwadi
भराडी bharadi
पारगाव pargaon
पिंपरखेड pimparkhed
मंगरुळ mangrul
बेल्हे belhe
बांगरवाडी bangarwadi
अणे ane
नळावणे nalawane
केरेवाडी kerewadi
तिकोंडी tikondi
लवंगी lavangi
मोरबगी morbagi
गिरगाव girgaon
बोर्गीखुर्द borgikhurd
सुसलाद suslad
सोनलगी sonlagi
आसंगी asangi
पांडोझरी pandozari
संख sankh
जलीहाळ jalihal
बभिवर्गी babhiwargi
करजगी karjagi
बेलोंडगी belondagi
बालगाव balgaon
हळली halali
उटगी utagi
निगडीखुर्द nigdikhurd
उमदी umadi
जळीहाल jalihal
दरीबडची daribdachi
सौंडी saundi
आसंग asang
गोंधळेवाडी gondhlewadi
अंकलगी anklagi
गंगेवाडी gangewadi
धामणी dhamani
लोणी loni
पारगाव pargaon
वाकगाव vakgaon
वडगावपीर vadgavpeer
चरुडे charude
पाबळ pabal
कान्हुर kanhur
सविंदणे savindane
आहिणे ahine
ओतुर otur
धोलवड dholwad
उंब्रज umbraj
पिंपरीपेंढार pimpripendhar
आळेफाटा alephata
बोरीबुद्रुक boribudruk
नारायणगाव narayangaon
हिवरे hivare
लौकी lauki
कळंब kalamb
गोद्रे godre
डिंगोरे dingore
उदापूर udapur
नेटवड netwad
लेण्याद्री lenyadri
गोळेगाव golegaon
जुन्नर junnar
ओझर ozar
येडगाव yedgaon
आर्वी arvi
सावरगाव savargaon
आळे ale
राजुरी rajuri
खोदड khodad
सावा sava
करंदी karandi
शिक्रापूर shikrapur
वढुबुद्रुक vadhubudruk
लोणीकंद lonikand
वाघोली wagholi
कोळवाडी kolwadi
थेऊर theur
लोणीकाळभोर lonikalbhor
कुंजीरवाडी kunjirwadi
गुर्होळी gurholi
दधापूर dadhapur
दिवे dive
बनपूरी banpuri
फुरसुंगी fursungi
खराडी kharadi
लोहगाव lohgaon
वडगावशिंदे vadgavshinde
तुळापूर tulapur
कोयाळी koyali
बहुली bahuli
दावंडी davandi
निमगाव nimgaon
रेटवडी retwadi
खेड khed
राजगुरुनगर rajgurunagar
पुणे pune
हवेली haveli
कळस kalas
दिघी dighi
चर्होली charholi
धानोरे dhanore
आळंदी alandi
चिंबळी chimbali
चाकण chakan
खरपूडीबुद्रुक kharpudibudruk
निघोज nighoj
शिरोळी shiroli
दौंड daund
कडूस kadus
चास chas
कमान kaman
सायगाव saygaon
बावी bavi
वाडा vada
धाकले dhakale
साल sal
गंगापूरबुद्रुक gangapurbudruk
फुलवडे fulwade
पेठ peth
कुरवंडी kurvandi
निघुटवाडी nighutwadi
मंचर manchar
घोडेगाव ghodegaon
चिखली chikhali
अमोडी amodi
फुलवडे fulwade
परुडे parude
तांबे tambe
येणेरे yenere
पाडळी padali
शिवनेरी shivneri
अंबोली amboli
रजुर rajur
चावड chawad
हडसर hadsar
निमगिरी nimgiri
सणसवाडी sanaswadi
कोरेगाव koregaon
लोणीकंद lonikand
पिंपरीसांडस pimprisandas
वाडेबोलाई wadebolai
अष्टापूर ashtapur
नायगाव naygaon
मलठाण malthan
भरतगाव bharatgaon
डाळिंब dalimb
भोरीभडक bhoribhadak
उरुळीकांचन urulikanchan
कासुर्डी kasurdi
यवत yavat
खामगाव khamgaon
राहु rahu
भिमटाकळी bhimtakali
निमगाव nimgaon
भाबंडी bhabandi
करड karad
गोळेगाव golegaon
शिरुर shirur
अन्नापूर annapur
निमगाड nimgad
कारेगाव karegaon
वागळे vagale
रांजणगाव ranjangaon
कोंढापूरी kondhapuri
कासारी kasari
सराफवाडी saraphwadi
निरवांगी nirvangi
रेडणी redani
खांरोची khanrochi
करेवाडी karewadi
पिंपरीबुद्रुक pimpribudruk
इंदापूर indapur
सरडेवाडी sardewadi
बाभुळगाव babhulgaon
भांडगाव bhandgaon
वकीलवस्ती vakilvasti
बावडा bawada
टण्णु tannu
निरनिमगाव nirnimgaon
सराटी sarati
दौंड daund
वरवंड varvand
गिरीम girim
पाटस patas
कुसेगाव kusegaon
रोटी roti
हिंगणीवाडा hingniwada
बंडवाडी bandwadi
कोरोळी koroli
बाबुर्डी baburdi
जरडवाडी jaradwadi
कर्हाटी karhati
जळगावसुपा jalgavsupa
सायबाचीवाडी saybachiwadi
ढाकळे dhakale
बारामती baramati
पणदरे pandare
धुमाळवाडी dhumalwadi
शिरवली shirvali
मळद malad
डोर्लेवाडी dorlewadi
निरावागज nirawagaj
खाडज khadaj
तावशी tavashi
ढेकळवाडी dhekalwadi
भवानीनगर bhavaninagar
काटेवाडी katewadi
जळोधी jalodhi
रुई rui
काटफळ katfal
शेटफळगड shetphalgad
पारवडी parwadi
शिर्सुफळ shirsufal
रावणगाव rawangaon
बोरीवेल borivel
वसुंदे vasunde
जिरेगाव jiregaon
कुरकुंभ kurkumbh
लिंगाली lingali
खोराडी khoradi
हिंगणीबेरडी hingniberadi
शिरापूर shirapur
पेडगाव pedgaon
सिद्धटेक siddhatek
वाटलुज watluj
राजेगाव rajegaon
चिंचोली chincholi
खानोटा khanota
भिगवन bhigvan
मदनवाडी madanwadi
निरगुडे nirgude
म्हसोबावाडी mhasobawadi
निंबोडी nimbodi
काझड kazad
सणसर sansar
अंथुर्णे anthurne
लोसुर्णे losurne
कुरवली kurvali
कळंब kalamb
निमसाखर nimsakhar
शिरसटवाडी shirsatwadi
गोतुडी gotudi
शेळगाव shelgaon
येसुपारवाडी yesuparwadi
कळस kalas
न्हावी nhavi
डाळस dalas
पळसदेव palasdeo
लोणीकळाशी loniklashi
बिजावडी bijawadi
कवढाळी kavdhali
तरंगवाडी tarangwadi
मोरगाव morgaon
भोंडवेवाडी bhondwewadi
पिसे pise
विसे vise
राजुरी rajuri
सुपे supe
वाढाणे vadhane
पडवी padavi
बेटकेडगाव betkedgaon
चौफुला chauphula
बोरीपाडा boripada
तांदळगाव tandalgaon
रांजणगावसांडस ranjangavsandas
खोर khor
भाडगाव bhadgaon
केडगाव kedgaon
गलांडवाडी galandwadi
वाळकी walaki
आलेगाव alegaon
न्हावरा nhawara
उरुळगाव urulgaon
आंबळे ambale
नोमोणे nomone
गुनाट gunat
